suite,condition_id,retriever,max_steps,process_feedback,quality_reweight,judge_mode,qa_count,success,judge_score,retrieval_precision,hallucination_rate,lexical_f1,exact_match,reference_episode_recall,trajectory_length,elapsed_seconds,cost_usd
main,main__bm25__steps2__judge0__quality0__modenone,bm25,2,False,False,none,3,1.0,4.0,0.03333333333333333,0.19999999999999998,0.2880348852087446,0.0,0.611111111111111,2.0,7.655697027842204,0.0004911
main,main__bm25__steps2__judge0__quality1__modenone,bm25,2,False,True,none,3,0.6666666666666666,3.6666666666666665,0.03333333333333333,0.26666666666666666,0.28663401623324364,0.0,0.611111111111111,2.0,7.844054460525513,0.0004929
main,main__bm25__steps2__judge1__quality0__modeprocess,bm25,2,True,False,process,3,0.6666666666666666,4.0,0.31666666666666665,0.25,0.2977644235667342,0.0,0.7777777777777778,2.0,15.48442006111145,0.0006794
main,main__bm25__steps2__judge1__quality1__modeprocess,bm25,2,True,True,process,3,0.6666666666666666,4.0,0.13333333333333333,0.0,0.25613337960159394,0.0,0.611111111111111,2.0,17.828293085098267,0.0007112666666666666
main,main__bm25__steps3__judge0__quality0__modenone,bm25,3,False,False,none,3,0.6666666666666666,3.6666666666666665,0.03333333333333333,0.25,0.27080075165181544,0.0,0.611111111111111,3.0,10.514239311218262,0.0007391333333333334
main,main__bm25__steps3__judge0__quality1__modenone,bm25,3,False,True,none,3,0.3333333333333333,4.0,0.03333333333333333,0.25,0.31770524692459823,0.0,0.611111111111111,3.0,10.140722831090292,0.0007500000000000001
main,main__bm25__steps3__judge1__quality0__modeprocess,bm25,3,True,False,process,3,0.6666666666666666,4.333333333333333,0.625,0.0,0.2812698412698413,0.0,0.7777777777777778,3.0,23.908650318781536,0.0010951333333333332
main,main__bm25__steps3__judge1__quality1__modeprocess,bm25,3,True,True,process,3,0.3333333333333333,2.6666666666666665,0.041666666666666664,0.16666666666666666,0.28641219802610185,0.0,0.4444444444444444,2.3333333333333335,11.7719833056132,0.0006442
main,main__bm25__steps4__judge0__quality0__modenone,bm25,4,False,False,none,3,0.6666666666666666,4.0,0.13333333333333333,0.26666666666666666,0.3157179393496529,0.0,0.611111111111111,4.0,14.90299161275228,0.0010129
main,main__bm25__steps4__judge0__quality1__modenone,bm25,4,False,True,none,3,0.3333333333333333,3.3333333333333335,0.3033333333333333,0.11,0.25806814008252854,0.0,0.7777777777777778,4.0,24.80159060160319,0.0011495666666666666
