cohort,metric,n_qa,mean,ci_lo,ci_hi
old,success,32,0.717013888888889,0.6449652777777778,0.78125
old,judge_score,32,4.105902777777779,3.914040798611111,4.2864800347222225
old,reference_episode_recall,32,0.5414496527777778,0.4707754629629629,0.6122685185185185
old,retrieval_precision,32,0.48386392462668504,0.42753164033111957,0.5426095212009728
old,hallucination_rate,32,0.022847222222222224,0.014756944444444444,0.03151931423611111
old,lexical_f1,32,0.4054932835583532,0.3784256567083804,0.4322901118695945
mixed,success,32,0.7586805555555556,0.7074652777777778,0.8098958333333333
mixed,judge_score,32,4.176215277777778,4.022569444444445,4.323784722222222
mixed,reference_episode_recall,32,0.6479311342592592,0.5894061053240742,0.7059479890046296
mixed,retrieval_precision,32,0.467394450054828,0.40942690000995413,0.5258641448563378
mixed,hallucination_rate,32,0.03773602430555555,0.028197443576388887,0.04779084201388887
mixed,lexical_f1,32,0.39015532259671915,0.36089521072613157,0.4207560499394256
new,success,23,0.8019323671497584,0.7233997584541063,0.8695652173913043
new,judge_score,23,4.314009661835749,4.113526570048308,4.49399154589372
new,reference_episode_recall,23,0.6823671497584541,0.5988325281803543,0.7644927536231884
new,retrieval_precision,23,0.5007382590586767,0.44089636483383776,0.5619678823171358
new,hallucination_rate,23,0.027306763285024155,0.015821256038647345,0.041992753623188404
new,lexical_f1,23,0.36819625426048813,0.3327203313324339,0.4054110634049921
