retriever,max_steps,process_feedback,judge_score_mean,judge_score_sem,success_mean,success_sem,reference_episode_recall_mean,reference_episode_recall_sem,hallucination_rate_mean,hallucination_rate_sem,n
bm25,2,False,4.328,0.077,0.787,0.031,0.569,0.023,0.002,0.002,174
bm25,2,True,4.218,0.091,0.736,0.034,0.56,0.022,0.015,0.008,174
bm25,3,False,4.247,0.08,0.759,0.033,0.612,0.025,0.003,0.002,174
bm25,3,True,4.092,0.091,0.684,0.035,0.608,0.023,0.005,0.003,174
bm25,4,False,4.218,0.093,0.764,0.032,0.627,0.025,0.032,0.012,174
bm25,4,True,4.213,0.095,0.776,0.032,0.644,0.025,0.015,0.008,174
embedding,2,False,4.075,0.104,0.736,0.034,0.558,0.024,0.075,0.019,174
embedding,2,True,4.161,0.09,0.764,0.032,0.609,0.023,0.016,0.009,174
embedding,3,False,4.218,0.092,0.782,0.031,0.688,0.021,0.051,0.016,174
embedding,3,True,4.471,0.07,0.845,0.028,0.701,0.021,0.005,0.003,174
embedding,4,False,4.523,0.067,0.845,0.028,0.73,0.021,0.011,0.004,174
embedding,4,True,4.552,0.063,0.845,0.028,0.745,0.02,0.006,0.004,174
grep,2,False,3.569,0.122,0.598,0.037,0.466,0.024,0.113,0.024,174
grep,2,True,3.92,0.107,0.69,0.035,0.511,0.023,0.047,0.015,174
grep,3,False,3.862,0.112,0.667,0.036,0.557,0.025,0.093,0.021,174
grep,3,True,4.31,0.082,0.782,0.031,0.592,0.023,0.014,0.007,174
grep,4,False,4.264,0.08,0.793,0.031,0.677,0.022,0.013,0.006,174
grep,4,True,4.121,0.089,0.736,0.034,0.667,0.022,0.016,0.007,174
