retriever,max_steps,process_feedback,judge_score_mean,judge_score_sem,success_mean,success_sem,reference_episode_recall_mean,reference_episode_recall_sem,hallucination_rate_mean,hallucination_rate_sem,n
bm25,2,False,4.368,0.105,0.839,0.04,0.559,0.033,0.0,0.0,87
bm25,2,True,4.241,0.123,0.736,0.048,0.554,0.032,0.013,0.012,87
bm25,3,False,4.149,0.112,0.747,0.047,0.614,0.035,0.002,0.001,87
bm25,3,True,4.149,0.125,0.69,0.05,0.635,0.033,0.001,0.001,87
bm25,4,False,4.276,0.123,0.747,0.047,0.659,0.033,0.015,0.008,87
bm25,4,True,4.126,0.149,0.724,0.048,0.63,0.036,0.014,0.012,87
embedding,2,False,4.149,0.137,0.736,0.048,0.568,0.034,0.059,0.025,87
embedding,2,True,3.966,0.144,0.713,0.049,0.591,0.034,0.029,0.017,87
embedding,3,False,4.448,0.094,0.816,0.042,0.699,0.03,0.008,0.006,87
embedding,3,True,4.448,0.104,0.816,0.042,0.684,0.03,0.008,0.005,87
embedding,4,False,4.425,0.102,0.816,0.042,0.729,0.03,0.014,0.007,87
embedding,4,True,4.598,0.084,0.862,0.037,0.741,0.029,0.006,0.006,87
grep,2,False,3.575,0.176,0.598,0.053,0.474,0.032,0.129,0.036,87
grep,2,True,3.828,0.161,0.678,0.05,0.506,0.034,0.047,0.021,87
grep,3,False,3.92,0.149,0.69,0.05,0.561,0.036,0.067,0.026,87
grep,3,True,4.379,0.105,0.805,0.043,0.599,0.032,0.013,0.007,87
grep,4,False,4.241,0.112,0.793,0.044,0.697,0.031,0.008,0.005,87
grep,4,True,4.161,0.127,0.736,0.048,0.674,0.031,0.022,0.013,87
