retriever,max_steps,process_feedback,judge_score_mean,judge_score_sem,success_mean,success_sem,reference_episode_recall_mean,reference_episode_recall_sem,hallucination_rate_mean,hallucination_rate_sem,n
bm25,2,False,4.287,0.113,0.736,0.048,0.58,0.032,0.004,0.004,87
bm25,2,True,4.195,0.136,0.736,0.048,0.566,0.03,0.017,0.012,87
bm25,3,False,4.345,0.115,0.77,0.045,0.609,0.034,0.004,0.004,87
bm25,3,True,4.034,0.133,0.678,0.05,0.581,0.033,0.008,0.005,87
bm25,4,False,4.161,0.141,0.782,0.045,0.595,0.036,0.048,0.023,87
bm25,4,True,4.299,0.119,0.828,0.041,0.657,0.033,0.016,0.012,87
embedding,2,False,4.0,0.157,0.736,0.048,0.548,0.035,0.092,0.03,87
embedding,2,True,4.356,0.106,0.816,0.042,0.627,0.031,0.004,0.003,87
embedding,3,False,3.989,0.156,0.747,0.047,0.677,0.031,0.095,0.031,87
embedding,3,True,4.494,0.094,0.874,0.036,0.718,0.029,0.002,0.002,87
embedding,4,False,4.621,0.087,0.874,0.036,0.732,0.028,0.007,0.006,87
embedding,4,True,4.506,0.095,0.828,0.041,0.749,0.029,0.007,0.004,87
grep,2,False,3.563,0.17,0.598,0.053,0.458,0.034,0.096,0.031,87
grep,2,True,4.011,0.142,0.701,0.049,0.515,0.033,0.047,0.023,87
grep,3,False,3.805,0.167,0.644,0.052,0.554,0.036,0.118,0.034,87
grep,3,True,4.241,0.127,0.759,0.046,0.585,0.032,0.015,0.012,87
grep,4,False,4.287,0.116,0.793,0.044,0.656,0.032,0.018,0.01,87
grep,4,True,4.08,0.127,0.736,0.048,0.66,0.031,0.01,0.007,87
