metric,retriever,max_steps,process_feedback,n,mean_delta,sem,t,p_value
hallucination_rate,bm25,2,False,87,0.0041,0.0041,1.0,0.3173
hallucination_rate,bm25,3,False,87,0.0021,0.004,0.514,0.607
hallucination_rate,bm25,4,False,87,0.0333,0.0243,1.37,0.1706
hallucination_rate,bm25,2,True,87,0.0044,0.0161,0.272,0.7856
hallucination_rate,bm25,3,True,87,0.007,0.0055,1.276,0.2021
hallucination_rate,bm25,4,True,87,0.0026,0.017,0.156,0.8763
hallucination_rate,embedding,2,False,87,0.0326,0.0405,0.804,0.4212
hallucination_rate,embedding,3,False,87,0.0868,0.0321,2.706,0.0068
hallucination_rate,embedding,4,False,87,-0.0067,0.0063,-1.06,0.289
hallucination_rate,embedding,2,True,87,-0.0247,0.017,-1.451,0.1467
hallucination_rate,embedding,3,True,87,-0.0061,0.0052,-1.156,0.2475
hallucination_rate,embedding,4,True,87,0.0011,0.0042,0.271,0.7866
hallucination_rate,grep,2,False,87,-0.0329,0.0505,-0.651,0.5149
hallucination_rate,grep,3,False,87,0.051,0.042,1.216,0.2239
hallucination_rate,grep,4,False,87,0.0097,0.0072,1.347,0.1781
hallucination_rate,grep,2,True,87,-0.0002,0.0292,-0.008,0.9937
hallucination_rate,grep,3,True,87,0.0016,0.014,0.115,0.9087
hallucination_rate,grep,4,True,87,-0.0129,0.0141,-0.915,0.3603
judge_score,bm25,2,False,87,-0.0805,0.135,-0.596,0.5513
judge_score,bm25,3,False,87,0.1954,0.1154,1.693,0.0905
judge_score,bm25,4,False,87,-0.1149,0.1537,-0.748,0.4547
judge_score,bm25,2,True,87,-0.046,0.155,-0.297,0.7668
judge_score,bm25,3,True,87,-0.1149,0.163,-0.705,0.4808
judge_score,bm25,4,True,87,0.1724,0.1785,0.966,0.3341
judge_score,embedding,2,False,87,-0.1494,0.1972,-0.758,0.4487
judge_score,embedding,3,False,87,-0.4598,0.1721,-2.672,0.0076
judge_score,embedding,4,False,87,0.1954,0.0979,1.996,0.0459
judge_score,embedding,2,True,87,0.3908,0.1502,2.603,0.0093
judge_score,embedding,3,True,87,0.046,0.102,0.451,0.6521
judge_score,embedding,4,True,87,-0.092,0.0962,-0.956,0.3392
judge_score,grep,2,False,87,-0.0115,0.2629,-0.044,0.9651
judge_score,grep,3,False,87,-0.1149,0.2051,-0.56,0.5753
judge_score,grep,4,False,87,0.046,0.1222,0.376,0.7068
judge_score,grep,2,True,87,0.1839,0.2084,0.882,0.3776
judge_score,grep,3,True,87,-0.1379,0.134,-1.029,0.3033
judge_score,grep,4,True,87,-0.0805,0.1661,-0.484,0.6281
reference_episode_recall,bm25,2,False,87,0.0201,0.023,0.876,0.381
reference_episode_recall,bm25,3,False,87,-0.0048,0.0135,-0.354,0.723
reference_episode_recall,bm25,4,False,87,-0.0642,0.0251,-2.552,0.0107
reference_episode_recall,bm25,2,True,87,0.0125,0.0236,0.528,0.5974
reference_episode_recall,bm25,3,True,87,-0.0536,0.0266,-2.017,0.0437
reference_episode_recall,bm25,4,True,87,0.0268,0.0248,1.081,0.2796
reference_episode_recall,embedding,2,False,87,-0.0201,0.0361,-0.558,0.5771
reference_episode_recall,embedding,3,False,87,-0.022,0.0242,-0.912,0.3619
reference_episode_recall,embedding,4,False,87,0.0029,0.0133,0.216,0.8291
reference_episode_recall,embedding,2,True,87,0.0364,0.0233,1.562,0.1184
reference_episode_recall,embedding,3,True,87,0.0345,0.0224,1.542,0.1232
reference_episode_recall,embedding,4,True,87,0.0077,0.0229,0.334,0.7384
reference_episode_recall,grep,2,False,87,-0.0163,0.0341,-0.477,0.6334
reference_episode_recall,grep,3,False,87,-0.0077,0.0347,-0.221,0.8252
reference_episode_recall,grep,4,False,87,-0.0412,0.0206,-2.003,0.0452
reference_episode_recall,grep,2,True,87,0.0096,0.0322,0.298,0.7661
reference_episode_recall,grep,3,True,87,-0.0134,0.0264,-0.508,0.6117
reference_episode_recall,grep,4,True,87,-0.0144,0.0277,-0.519,0.6039
success,bm25,2,False,87,-0.1034,0.0612,-1.689,0.0912
success,bm25,3,False,87,0.023,0.0542,0.424,0.6713
success,bm25,4,False,87,0.0345,0.0528,0.652,0.5141
success,bm25,2,True,87,0.0,0.0612,0.0,1.0
success,bm25,3,True,87,-0.0115,0.0684,-0.168,0.8665
success,bm25,4,True,87,0.1034,0.059,1.753,0.0797
success,embedding,2,False,87,0.0,0.0654,0.0,1.0
success,embedding,3,False,87,-0.069,0.0561,-1.228,0.2193
success,embedding,4,False,87,0.0575,0.0443,1.296,0.195
success,embedding,2,True,87,0.1034,0.0518,1.997,0.0458
success,embedding,3,True,87,0.0575,0.0412,1.394,0.1632
success,embedding,4,True,87,-0.0345,0.0415,-0.831,0.4062
success,grep,2,False,87,0.0,0.0767,0.0,1.0
success,grep,3,False,87,-0.046,0.0652,-0.705,0.4808
success,grep,4,False,87,0.0,0.0542,0.0,1.0
success,grep,2,True,87,0.023,0.0611,0.376,0.7068
success,grep,3,True,87,-0.046,0.0515,-0.893,0.3716
success,grep,4,True,87,0.0,0.0612,0.0,1.0
